freq (MHz);s11 (dB);real Z_in (Ohm); imag Z_in (Ohm)
1500;-0.02642280919932035;0.7534969134383734;149.2279575741885
1504;-0.1430030567713982;4.228386715049546;152.2081438111501
1508;-0.2683425214677792;8.171326192072813;154.5675811526271
1512;-0.3996856532910084;12.43640850903715;156.1760732802518
1516;-0.5339622492696681;16.83254220090057;156.9471618303942
1520;-0.667825403939578;21.14115402762139;156.8562395302253
1524;-0.7977204129662296;25.14181887512829;155.9493594738924
1528;-0.9199893989988552;28.63995163193686;154.3392741585706
1532;-1.031012561991119;31.48949592438585;152.1893341059435
1536;-1.127381042913072;33.60528558783547;149.6898603772434
1540;-1.206089083006926;34.96351793745944;147.0334837360793
1544;-1.264726002408733;35.59254749644557;144.3950822917575
1548;-1.301643733829955;35.55832236451923;141.91930340717
1552;-1.316075424214185;34.9488506659483;139.715820517163
1556;-1.308186107275527;33.86079360132669;137.8605949453119
1560;-1.279046932417136;32.38963319318096;136.4007642202558
1564;-1.230537285086607;30.62355038651475;135.3610263404586
1568;-1.165190756993273;28.64040627091665;134.7500334003516
1572;-1.08600823542155;26.50696672203916;134.5659718565836
1576;-0.9962629900916535;24.27955949745543;134.8010104370975
1580;-0.8993191422235938;22.00553187305418;135.4446058825953
1584;-0.7984782717552535;19.72507738748363;136.4858078044506
1588;-0.6968614691192976;17.47317026102292;137.9147509772136
1592;-0.5973276799537534;15.28147025698269;139.7235124295339
1596;-0.5024246651043824;13.18014186226577;141.9064728555947
1600;-0.4143664431259081;11.19957842746988;144.4602749023627
1604;-0.3350303314435439;9.37204295291124;147.3834233605575
1608;-0.2659670966089301;7.733238521636498;150.6755275129541
1612;-0.2084187317319307;6.323805648120487;154.3361449856964
1616;-0.1633395993991637;5.19071057323494;158.363150651099
1620;-0.1314178610111199;4.388434799176514;162.7505268678484
1624;-0.1130951337601862;3.979797614612408;167.4854603751051
1628;-0.1085831362711802;4.036136850828185;172.5446509495772
1632;-0.1178767159149955;4.636441378117796;177.8898107556582
1636;-0.1407631321676205;5.864888778934177;183.4624933146545
1640;-0.1768278460015582;7.806136314340945;189.1786726102625
1644;-0.2254573780913752;10.53772522882752;194.923917503937
1648;-0.2858400843042151;14.11921417841497;200.5505468124206
1652;-0.3569659807562727;18.5783038569358;205.8786773457359
1656;-0.4376270444830651;23.89533942296472;210.703313675875
1660;-0.526419714465046;29.98906353267903;214.8091645812464
1664;-0.621751595417692;36.70786211619613;217.9933271519078
1668;-0.7218545727807385;43.83114506918012;220.0933473593891
1672;-0.8248066052273106;51.08404656365258;221.0151767709256
1676;-0.9285642730316995;58.16509189131978;220.7536754881513
1680;-1.031007622403317;64.78192471749443;219.3990780492405
1684;-1.129997873964532;70.68677734337335;217.1266168153154
1688;-1.223447135342728;75.70307426396548;214.1718364534889
1692;-1.309397456219205;79.73770207579339;210.798456942467
1696;-1.386104609944082;82.77838954767229;207.26696259312
1700;-1.452120235287499;84.87987563596235;203.810270921089
1704;-1.506364859643983;86.14449780643386;200.6193528791182
1708;-1.548184250149589;86.70243937496535;197.8383817896495
1712;-1.577382722874245;86.69511865180402;195.5669965985322
1716;-1.594229410126477;86.26322258170339;193.8667067645013
1720;-1.599436647600671;85.53939133308647;192.7688738289106
1724;-1.594112969634843;84.64474256740226;192.2825026306528
1728;-1.579696015497906;83.68816082097625;192.4008577738118
1732;-1.557872429524013;82.76734500994765;193.1065038599138
1736;-1.530492354406429;81.97081220723682;194.3747228939845
1740;-1.499485462462806;81.3802760896359;196.1754352608999
1744;-1.466783976993125;81.07299415991928;198.4738062287951
1748;-1.434256240558649;81.12378969694886;201.2297148099763
1752;-1.403652494716019;81.60650384395703;204.3962385268585
1756;-1.37656293663819;82.5946309530714;207.917297207689
1760;-1.354386960302182;84.160851954343;211.7246259039544
1764;-1.338311798590244;86.3751283514701;215.7343329393755
1768;-1.329298501212689;89.30098741335064;219.8434619831849
1772;-1.32807321729067;92.98966907360293;223.9272241356461
1776;-1.335122001870339;97.47198900167704;227.8378775960841
1780;-1.350687749330774;102.7481819953793;231.4065369660679
1784;-1.374768313756217;108.7766811469784;234.4493430602065
1788;-1.407115369653417;115.4637223652878;236.7791899027656
1792;-1.447234075488601;122.6566191113455;238.2233426998879
1796;-1.494384115435475;130.1440756136273;238.6456802433201
1800;-1.547583198584886;137.6664092024959;237.970207016392
1804;-1.605614566350738;144.9366250010408;236.2006523150308
1808;-1.667040455492516;151.6701479281904;233.4304796097158
1812;-1.730223718440185;157.6177515807479;229.8392775020045
1816;-1.793359821090637;162.5944156146952;225.6751172767683
1820;-1.854521110958514;166.4976326339157;221.2266606501125
1824;-1.911714471804505;169.3118990443863;216.7916834256849
1828;-1.962952195530825;171.1002773867995;212.6490114896565
